name,nada,stk,make,model,year,odometer,age,cost
2015 Nissan Quest 3.5 SV,"$23,375 ",CP125637,2015 Nissan Quest 3.5 SV,2015 Nissan Quest 3.5 SV,2015,"15,391",8,"$23,420 "
2012 Jeep Wrangler Sport,"$21,900 ",C246865,2012 Jeep Wrangler Sport,2012 Jeep Wrangler Sport,2012,"31,574",32,"$22,051 "
2013 Nissan Pathfinder SV,"$21,800 ",CP650663,2013 Nissan Pathfinder SV,2013 Nissan Pathfinder SV,2013,"25,320",8,"$23,409 "
2014 Ford F-150,"$21,525 ",CPB55305,2014 Ford F-150,2014 Ford F-150,2014,"46,278",112,"$25,540 "
2010 Chevrolet Camaro SS 2SS,"$20,500 ",C142721,2010 Chevrolet Camaro SS 2SS,2010 Chevrolet Camaro SS 2SS,2010,"28,071",15,"$22,097 "
2015 Ford Mustang V6,"$20,350 ",CP323143,2015 Ford Mustang V6,2015 Ford Mustang V6,2015,"27,836",113,"$22,961 "
2012 Dodge Ram 2500,"$19,850 ",C228689,2012 Dodge Ram 2500,2012 Dodge Ram 2500,2012,"75,428",2,"$17,000 "
2014 Dodge Ram 1500,"$19,850 ",CP102188,2014 Dodge Ram 1500,2014 Dodge Ram 1500,2014,"28,693",86,"$20,419 "
2015 Chrysler Town & Country Touring,"$19,725 ",CP545217,2015 Chrysler Town & Country Touring,2015 Chrysler Town & Country Touring,2015,"43,155",65,"$19,844 "
2014 Nissan Murano S,"$19,350 ",C401611,2014 Nissan Murano S,2014 Nissan Murano S,2014,"13,362",15,"$20,157 "
2015 Nissan Altima 2.5 SV,"$19,325 ",C284733,2015 Nissan Altima 2.5 SV,2015 Nissan Altima 2.5 SV,2015,"9,531",45,"$20,865 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP356515,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,"2,444",58,"$22,510 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP481606,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,34,58,"$21,578 "
2015 Nissan Altima 2.5 S,"$17,950 ",CP482611,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,12,58,"$21,194 "
2013 Ford F-150,"$17,925 ",CPE07185,2013 Ford F-150,2013 Ford F-150,2013,"39,955",31,"$18,297 "
2013 Nissan Murano S,"$17,700 ",C207121,2013 Nissan Murano S,2013 Nissan Murano S,2013,"14,753",29,"$18,877 "
2015 Nissan Altima 2.5 S,"$17,550 ",CP372059,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,"3,296",85,"$21,396 "
2014 Nissan Altima 2.5 SL,"$17,300 ",C108725,2014 Nissan Altima 2.5 SL,2014 Nissan Altima 2.5 SL,2014,"20,763",2,"$16,928 "
2013 Kia Sorento EX,"$16,575 ",C420605,2013 Kia Sorento EX,2013 Kia Sorento EX,2013,"46,180",17,"$16,962 "
2015 Nissan Altima 2.5 S,"$16,350 ",C154994,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,"16,001",72,"$16,456 "
2014 Nissan Altima 2.5 SV,"$16,175 ",C290189,2014 Nissan Altima 2.5 SV,2014 Nissan Altima 2.5 SV,2014,"25,667",31,"$16,791 "
2012 Mini Cooper S Base,"$16,175 ",CPY28795,2012 Mini Cooper S Base,2012 Mini Cooper S Base,2012,"19,496",50,"$17,317 "
2015 Nissan Altima 2.5 S,"$16,050 ",C321816,2015 Nissan Altima 2.5 S,2015 Nissan Altima 2.5 S,2015,"20,482",62,"$15,406 "
2013 Nissan Rogue SV,"$15,950 ",CP615812,2013 Nissan Rogue SV,2013 Nissan Rogue SV,2013,"34,910",28,"$16,470 "
2015 Jeep Compass Sport,"$15,900 ",CP135208,2015 Jeep Compass Sport,2015 Jeep Compass Sport,2015,"30,211",31,"$16,838 "
2012 Nissan Rogue S,"$14,725 ",CP606601,2012 Nissan Rogue S,2012 Nissan Rogue S,2012,"23,901",49,"$15,759 "
2013 Dodge Grand Caravan SE,"$14,675 ",C640726,2013 Dodge Grand Caravan SE,2013 Dodge Grand Caravan SE,2013,"17,336",6,"$14,588 "
2013 Toyota Camry SE,"$14,575 ",C669457,2013 Toyota Camry SE,2013 Toyota Camry SE,2013,"45,119",28,"$15,391 "
2013 Nissan Rogue SV,"$14,225 ",C527344,2013 Nissan Rogue SV,2013 Nissan Rogue SV,2013,"44,462",2,
2013 Nissan Altima 2.5 SV,"$14,225 ",CP464058,2013 Nissan Altima 2.5 SV,2013 Nissan Altima 2.5 SV,2013,"21,868",49,"$15,075 "
2014 Nissan Altima 2.5 S,"$14,050 ",C364708,2014 Nissan Altima 2.5 S,2014 Nissan Altima 2.5 S,2014,"32,286",64,"$15,669 "
2014 Toyota Camry L,"$13,975 ",CP393261,2014 Toyota Camry L,2014 Toyota Camry L,2014,"41,725",32,"$16,306 "
2014 Nissan Altima 2.5 S,"$13,825 ",CP377881,2014 Nissan Altima 2.5 S,2014 Nissan Altima 2.5 S,2014,"38,625",14,"$14,158 "
2014 Chevrolet Malibu LT 2LT,"$13,800 ",CP209235,2014 Chevrolet Malibu LT 2LT,2014 Chevrolet Malibu LT 2LT,2014,"48,027",218,"$16,635 "
2014 Hyundai Sonata GLS,"$13,525 ",C944658,2014 Hyundai Sonata GLS,2014 Hyundai Sonata GLS,2014,"33,368",13,"$13,665 "
2012 Nissan Maxima 3.5 S,"$13,400 ",C867202,2012 Nissan Maxima 3.5 S,2012 Nissan Maxima 3.5 S,2012,"69,355",32,"$15,023 "
2014 Nissan Sentra FE+ SV,"$13,250 ",C276027,2014 Nissan Sentra FE+ SV,2014 Nissan Sentra FE+ SV,2014,"11,047",25,"$13,283 "
2013 Nissan Altima 2.5 S,"$13,125 ",CP172957,2013 Nissan Altima 2.5 S,2013 Nissan Altima 2.5 S,2013,"25,335",78,"$15,468 "
2006 Hummer H3,"$12,975 ",C283136,2006 Hummer H3,2006 Hummer H3,2006,"99,513",10,"$9,500 "
2013 Dodge Grand Caravan SXT,"$12,900 ",CP771830,2013 Dodge Grand Caravan SXT,2013 Dodge Grand Caravan SXT,2013,"59,151",84,"$15,120 "
2015 Nissan Versa Note S Plus,"$12,775 ",CP423822,2015 Nissan Versa Note S Plus,2015 Nissan Versa Note S Plus,2015,"10,063",50,"$11,493 "
2014 Nissan Sentra S,"$12,750 ",C259802,2014 Nissan Sentra S,2014 Nissan Sentra S,2014,"19,229",35,"$13,272 "
2015 Nissan Versa 1.6 SV,"$12,675 ",CP903824,2015 Nissan Versa 1.6 SV,2015 Nissan Versa 1.6 SV,2015,"1,189",58,"$16,030 "
2015 Nissan Versa 1.6 SV,"$12,675 ",CP907072,2015 Nissan Versa 1.6 SV,2015 Nissan Versa 1.6 SV,2015,101,58,"$15,567 "
2015 Nissan Versa 1.6 SV,"$12,675 ",CP907339,2015 Nissan Versa 1.6 SV,2015 Nissan Versa 1.6 SV,2015,20,58,"$16,003 "
2013 Nissan Juke SV,"$12,175 ",C221315,2013 Nissan Juke SV,2013 Nissan Juke SV,2013,"70,735",8,"$12,492 "
2014 Nissan Sentra SV,"$12,000 ",C614119,2014 Nissan Sentra SV,2014 Nissan Sentra SV,2014,"33,219",14,"$12,600 "
2015 Nissan Versa 1.6 SV,"$11,750 ",C869450,2015 Nissan Versa 1.6 SV,2015 Nissan Versa 1.6 SV,2015,"16,350",7,"$10,000 "
2014 Nissan Sentra SR,"$11,700 ",C279006,2014 Nissan Sentra SR,2014 Nissan Sentra SR,2014,"46,045",9,"$13,495 "
2014 Ford Focus SE,"$11,625 ",C359717,2014 Ford Focus SE,2014 Ford Focus SE,2014,"26,658",48,"$12,095 "
2013 Nissan Sentra SV,"$11,525 ",CP625772,2013 Nissan Sentra SV,2013 Nissan Sentra SV,2013,"23,711",28,"$13,734 "
2013 Nissan Altima 2.5 SL,"$11,350 ",C407486,2013 Nissan Altima 2.5 SL,2013 Nissan Altima 2.5 SL,2013,"108,618",17,"$11,188 "
2012 Toyota Camry,"$10,950 ",C207288,2012 Toyota Camry,2012 Toyota Camry,2012,"75,289",20,"$9,980 "
2009 Honda Accord LX-P 2.4,"$10,900 ",C101419,2009 Honda Accord LX-P 2.4,2009 Honda Accord LX-P 2.4,2009,"43,744",34,"$11,607 "
2013 Nissan Sentra SV,"$10,625 ",C717898,2013 Nissan Sentra SV,2013 Nissan Sentra SV,2013,"33,098",41,"$13,078 "
2014 Nissan Sentra SV,"$10,600 ",CP237862,2014 Nissan Sentra SV,2014 Nissan Sentra SV,2014,"62,958",14,"$13,099 "
2013 Nissan Altima 2.5 SV,"$10,575 ",C279735,2013 Nissan Altima 2.5 SV,2013 Nissan Altima 2.5 SV,2013,"59,197",13,"$13,660 "
2010 Nissan Murano S,"$10,425 ",C013891,2010 Nissan Murano S,2010 Nissan Murano S,2010,"98,790",60,"$11,168 "
2013 Hyundai Elantra GLS,"$10,400 ",C751428,2013 Hyundai Elantra GLS,2013 Hyundai Elantra GLS,2013,"32,637",22,"$5,000 "
2010 Chevrolet Silverado 1500 Work Truck,"$10,175 ",C204740,2010 Chevrolet Silverado 1500 Work Truck,2010 Chevrolet Silverado 1500 Work Truck,2010,"88,352",25,"$11,203 "
2011 Ford Escape XLT,"$8,550 ",CA41651,2011 Ford Escape XLT,2011 Ford Escape XLT,2011,"112,721",15,"$8,367 "
2013 Hyundai Elantra GS,"$6,525 ",C004255,2013 Hyundai Elantra GS,2013 Hyundai Elantra GS,2013,"107,902",37,"$7,700 "
1997 Dodge Ram 1500,"$3,600 ",C606816,1997 Dodge Ram 1500,1997 Dodge Ram 1500,1997,"100,474",15,"$2,500 "
