name,nada,stk,make,model,year,odometer,age,cost
2015 Jeep Cherokee Limited,"$25,225 ",C517779,"SUV, Compact Sport Utility",2015 Jeep Cherokee Limited,2015,"11,701",110,"$23,656 "
2015 Nissan Quest 3.5 SV,"$23,025 ",CP125637,"Van, Small Van",2015 Nissan Quest 3.5 SV,2015,"15,391",5,"$23,375 "
2013 Nissan Pathfinder SV,"$21,550 ",CP650663,"SUV, Intermediate Sport Utility",2013 Nissan Pathfinder SV,2013,"25,320",5,"$23,364 "
2015 Ford Mustang V6,"$20,150 ",CP323143,"Car, Sport",2015 Ford Mustang V6,2015,"27,836",110,"$22,961 "
2015 Nissan Rogue SV,"$22,550 ",CP506887,"SUV, Compact Sport Utility",2015 Nissan Rogue SV,2015,"19,985",62,"$22,570 "
2015 Nissan Altima 2.5 S,"$17,600 ",CP356515,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,"2,444",55,"$22,510 "
2010 Chevrolet Camaro SS 2SS,"$20,550 ",C142721,"Car, Sport",2010 Chevrolet Camaro SS 2SS,2010,"28,071",12,"$22,052 "
2012 Jeep Wrangler Sport,"$22,150 ",C246865,"SUV, Compact Sport Utility",2012 Jeep Wrangler Sport,2012,"31,574",29,"$22,051 "
2015 Nissan Altima 2.5 S,"$17,600 ",CP481606,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,34,55,"$21,578 "
2015 Nissan Altima 2.5 S,"$17,200 ",CP372059,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,"3,296",82,"$21,396 "
2015 Nissan Altima 2.5 S,"$17,600 ",CP482611,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,12,55,"$21,194 "
2015 Nissan Altima 2.5 SV,"$19,250 ",C284733,"Car, Intermediate",2015 Nissan Altima 2.5 SV,2015,"9,531",42,"$20,865 "
2014 Dodge Ram 1500,"$18,850 ",CP102188,"Truck, Large Pick-up",2014 Dodge Ram 1500,2014,"28,693",83,"$20,419 "
2014 Nissan Murano S,"$19,450 ",C401611,"SUV, Intermediate Sport Utility",2014 Nissan Murano S,2014,"13,362",12,"$20,112 "
2015 Chrysler Town & Country Touring,"$19,425 ",CP545217,"Van, Small Van",2015 Chrysler Town & Country Touring,2015,"43,155",62,"$19,844 "
2013 Nissan Murano S,"$17,575 ",C207121,"SUV, Intermediate Sport Utility",2013 Nissan Murano S,2013,"14,753",26,"$18,877 "
2014 Nissan Murano S,"$18,425 ",CP511798,"SUV, Intermediate Sport Utility",2014 Nissan Murano S,2014,"44,667",134,"$18,526 "
2013 Ford F-150,"$17,625 ",CPE07185,"Truck, Large Pick-up",2013 Ford F-150,2013,"39,955",28,"$18,297 "
2012 Mini Cooper S Base,"$16,475 ",CPY28795,"Car, Sport",2012 Mini Cooper S Base,2012,"19,496",47,"$17,317 "
2015 Hyundai Tucson GLS,"$17,650 ",C048936,"SUV, Compact Sport Utility",2015 Hyundai Tucson GLS,2015,"12,211",45,"$17,089 "
2013 Kia Sorento EX,"$16,575 ",C420605,"SUV, Intermediate Sport Utility",2013 Kia Sorento EX,2013,"46,180",14,"$16,914 "
2015 Jeep Compass Sport,"$16,200 ",CP135208,"SUV, Compact Sport Utility",2015 Jeep Compass Sport,2015,"30,211",28,"$16,838 "
2014 Nissan Altima 2.5 SV,"$16,100 ",C290189,"Car, Intermediate",2014 Nissan Altima 2.5 SV,2014,"25,667",28,"$16,791 "
2013 Nissan Altima 2.5 SL,"$17,025 ",CP192724,"Car, Intermediate",2013 Nissan Altima 2.5 SL,2013,"34,440",74,"$16,776 "
2014 Chevrolet Malibu LT 2LT,"$13,625 ",CP209235,"Car, Intermediate",2014 Chevrolet Malibu LT 2LT,2014,"48,027",215,"$16,635 "
2013 Nissan Rogue SV,"$16,025 ",CP615812,"SUV, Compact Sport Utility",2013 Nissan Rogue SV,2013,"34,910",25,"$16,470 "
2015 Nissan Altima 2.5 S,"$16,025 ",C154994,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,"16,001",69,"$16,456 "
2014 Toyota Camry L,"$13,675 ",CP393261,"Car, Intermediate",2014 Toyota Camry L,2014,"41,725",29,"$16,306 "
2015 Nissan Versa 1.6 SV,"$12,375 ",CP903824,"Car, Subcompact",2015 Nissan Versa 1.6 SV,2015,"1,189",55,"$16,030 "
2015 Nissan Versa 1.6 SV,"$12,375 ",CP907339,"Car, Subcompact",2015 Nissan Versa 1.6 SV,2015,20,55,"$16,003 "
2012 Nissan Rogue S,"$14,975 ",CP606601,"SUV, Compact Sport Utility",2012 Nissan Rogue S,2012,"23,901",46,"$15,759 "
2014 Nissan Altima 2.5 S,"$14,050 ",C364708,"Car, Intermediate",2014 Nissan Altima 2.5 S,2014,"32,286",61,"$15,669 "
2015 Nissan Versa 1.6 SV,"$12,375 ",CP907072,"Car, Subcompact",2015 Nissan Versa 1.6 SV,2015,101,55,"$15,567 "
2013 Nissan Altima 2.5 S,"$13,250 ",CP172957,"Car, Intermediate",2013 Nissan Altima 2.5 S,2013,"25,335",75,"$15,468 "
2015 Nissan Altima 2.5 S,"$15,800 ",C321816,"Car, Intermediate",2015 Nissan Altima 2.5 S,2015,"20,482",59,"$15,406 "
2013 Toyota Camry SE,"$14,200 ",C669457,"Car, Intermediate",2013 Toyota Camry SE,2013,"45,119",25,"$15,391 "
2013 Dodge Grand Caravan SXT,"$12,675 ",CP771830,"Van, Small Van",2013 Dodge Grand Caravan SXT,2013,"59,151",81,"$15,120 "
2016 Nissan Versa 1.6 S Plus,-,CP828360,"Car, Subcompact",2016 Nissan Versa 1.6 S Plus,2016,"1,109",55,"$15,103 "
2016 Nissan Versa 1.6 S Plus,-,CP826535,"Car, Subcompact",2016 Nissan Versa 1.6 S Plus,2016,223,53,"$15,103 "
2016 Nissan Versa 1.6 S Plus,-,CP823092,"Car, Subcompact",2016 Nissan Versa 1.6 S Plus,2016,218,55,"$15,098 "
2016 Nissan Versa 1.6 S Plus,-,CP821899,"Car, Subcompact",2016 Nissan Versa 1.6 S Plus,2016,196,55,"$15,098 "
2013 Nissan Altima 2.5 SV,"$14,275 ",CP464058,"Car, Intermediate",2013 Nissan Altima 2.5 SV,2013,"21,868",46,"$15,075 "
2012 Nissan Maxima 3.5 S,"$13,325 ",C867202,"Car, Intermediate",2012 Nissan Maxima 3.5 S,2012,"69,355",29,"$15,023 "
2013 Nissan Sentra SV,"$11,300 ",CP625772,"Car, Compact",2013 Nissan Sentra SV,2013,"23,711",25,"$13,734 "
2014 Hyundai Sonata GLS,"$13,300 ",C944658,"Car, Intermediate",2014 Hyundai Sonata GLS,2014,"33,368",10,"$13,665 "
2013 Nissan Altima 2.5 SV,"$10,700 ",C279735,"Car, Intermediate",2013 Nissan Altima 2.5 SV,2013,"59,197",10,"$13,660 "
2014 Nissan Sentra SR,"$11,275 ",C279006,"Car, Compact",2014 Nissan Sentra SR,2014,"46,045",6,"$13,495 "
2014 Nissan Sentra FE+ SV,"$12,850 ",C276027,"Car, Compact",2014 Nissan Sentra FE+ SV,2014,"11,047",22,"$13,283 "
2014 Nissan Sentra S,"$12,350 ",C259802,"Car, Compact",2014 Nissan Sentra S,2014,"19,229",32,"$13,237 "
2013 Nissan Sentra SV,"$10,400 ",C717898,"Car, Compact",2013 Nissan Sentra SV,2013,"33,098",38,"$13,078 "
2013 Dodge Grand Caravan SE,"$14,700 ",C640726,"Van, Small Van",2013 Dodge Grand Caravan SE,2013,"17,336",3,"$13,000 "
2014 Nissan Sentra SV,"$11,650 ",C614119,"Car, Compact",2014 Nissan Sentra SV,2014,"33,219",11,"$12,600 "
2013 Nissan Juke SV,"$12,250 ",C221315,"SUV, Compact Sport Utility",2013 Nissan Juke SV,2013,"70,735",5,"$12,492 "
2014 Ford Focus SE,"$11,400 ",C359717,"Car, Compact",2014 Ford Focus SE,2014,"26,658",45,"$12,095 "
2009 Honda Accord LX-P 2.4,"$10,600 ",C101419,"Car, Intermediate",2009 Honda Accord LX-P 2.4,2009,"43,744",31,"$11,607 "
2015 Nissan Versa Note S Plus,"$12,675 ",CP423822,"Car, Subcompact",2015 Nissan Versa Note S Plus,2015,"10,063",47,"$11,493 "
2010 Chevrolet Silverado 1500 Work Truck,"$10,200 ",C204740,"Truck, Large Pick-up",2010 Chevrolet Silverado 1500 Work Truck,2010,"88,352",22,"$11,203 "
2010 Nissan Murano S,"$9,875 ",C013891,"SUV, Intermediate Sport Utility",2010 Nissan Murano S,2010,"98,790",57,"$11,168 "
2012 Toyota Camry,"$10,725 ",C207288,"Car, Intermediate",2012 Toyota Camry,2012,"75,289",17,"$9,935 "
2006 Hummer H3,"$12,975 ",C283136,"SUV, Intermediate Sport Utility",2006 Hummer H3,2006,"99,513",7,"$9,500 "
2012 Nissan Sentra 2.0 SR,"$8,175 ",C708846,"Car, Compact",2012 Nissan Sentra 2.0 SR,2012,"94,073",17,"$7,924 "
2013 Hyundai Elantra GS,"$6,225 ",C004255,"Car, Compact",2013 Hyundai Elantra GS,2013,"107,902",34,"$7,700 "
2013 Hyundai Elantra GLS,"$10,050 ",C751428,"Car, Compact",2013 Hyundai Elantra GLS,2013,"32,637",19,"$5,000 "
,,,,,,,,
